start	end	text
0	2720	Cette vidéo est sponsorisée par Incogni.
2860	6380	Si vous avez l'impression de vous faire matraquer de spam sur votre boîte mail
6380	9940	ou d'appels téléphoniques publicitaires sur votre téléphone, c'est normal.
10140	13520	Vos données personnelles circulent sur le marché des courtiers en données.
13780	15220	C'est normal, mais c'est chiant.
15340	16760	C'est très désagréable !
16760	18240	Et c'est là où Incogni intervient.
18420	22100	En théorie, les lois européennes vous permettent de contacter ces courtiers
22100	24320	pour demander la suppression de vos données,
24520	26700	mais en pratique, ce serait un travail à temps plein.
26780	27740	Tu vois pas que j'ai pas que ça à foutre ?
27740	33240	Bon bah justement, Incogni a automatisé les demandes de suppression de données auprès des courtiers.
33440	36360	Vous avez juste à leur indiquer les données que vous souhaitez protéger,
36560	40860	nom, prénom, adresse, numéro de téléphone par exemple, et Incogni s'occupe du reste.
41140	42340	Vous n'avez plus rien à faire.
42440	47120	Par contre, vous pouvez suivre en temps réel les demandes de suppression sur votre tableau de bord.
47380	50680	Vous pouvez tester en toute sérénité le service pendant 30 jours
50680	53140	et vous faire rembourser si vous n'êtes pas satisfait.
53280	55080	Donc n'hésitez pas à tester Incogni.
55080	59120	Avec le lien en description, vous avez 60% de réduction sur l'abonnement annuel.
59320	63660	Merci à Incogni de soutenir mon travail et c'est parti pour la vidéo du jour.
64120	67180	Salut tout le monde, j'imagine que vous connaissez déjà Joyka,
67380	70760	un des plus gros youtubeurs français avec une audience assez jeune.
71020	75960	Et bien il y a quelques semaines, Joyka a sorti cette vidéo qui a fait rapidement 3 millions de vues.
76100	81540	Le concept de la vidéo, tester 10 thérapies et essayer de débusquer les 2 fausses thérapies
81540	84840	montées de toutes pièces par l'équipe de production du youtubeur.
84840	88680	Avec Mathieu, on a voulu tester 10 thérapies.
88760	89540	Mais il y a un petit twist.
90620	93180	Deux des thérapies qu'on va tester sont complètement fausses.
93420	93900	Il est temps.
94260	96100	Il est temps de faire le bilan de toutes ces thérapies
96100	98780	et de révéler les deux qui étaient fausses.
98820	101060	On a devant nous les deux thérapies qui sont fausses.
101180	102220	Il y en a huit qui sont donc vraies.
