start	end	text
0	9000	*Musique d'intro*
14000	14500	Allo ?
14500	16000	Ouais G, c'est le G du futur.
16000	17500	Ok, bizarre, qu'est-ce qu'il y a ?
17500	22500	Alors écoute, c'est pour te dire que le bullshit quantique vient de toucher des pompiers professionnels,
22500	24000	mais vraiment, garde ton calme.
24000	24500	Attends, quoi ?
24500	27500	Non mais par contre, faut vraiment que tu me fasses confiance, garde ton calme, c'est le plus imp...
27500	28900	Qu'est-ce qu'il me raconte ?
28900	30800	Qu'est-ce que c'est que cette histoire encore ?
36800	38160	Qu'est-ce que c'est que ça ?
38160	39780	Lego quantique ?
39780	41400	Sapeur-pompier des Yvelines.
45980	49440	Le médecin-chef adjoint, le colonel Denis Cabaret,
49580	52520	vous livre une expérience unique à travers une conférence.
52800	55620	Au mois dernier, les personnels de la chefferie santé
55620	59340	ont eu le privilège de participer à une conférence sur l'ego quantique
59340	62300	organisée par le colonel Denis Cabaret.
63000	67860	L'ego quantique, comment la physique des particules nous explique que le bonheur est un choix.
68560	71960	Non, non, non, non, non, non, non, non, non, je refuse.
72060	73860	Pas eux, pas eux, ils ont pas le droit.
74180	75500	Pas les pompiers, pas les pompiers.
77780	79360	Pas les pompiers.
81060	82620	Pourquoi, mais pourquoi ?
82620	86660	Pas de bullshit dans une caserne de pompiers.
87700	89200	Je vous préviens, ça va aller vite.
89360	93820	C'est déjà assez douloureux de voir des pompiers professionnels immergés dans du bullshit quantique.
93940	97380	Donc on va aller vite, on va pas passer 5 heures sur chaque phrase de cette conférence.
99140	101240	Et le but c'est de réfléchir autrement.
101460	105800	Mais en tout cas, c'est réel, c'est pas une blague, c'est pas des naturopathes déguisés en pompiers,
105800	110500	c'est vraiment des pompiers professionnels d'Ile-de-France qui viennent de mettre en ligne sur leur chaîne YouTube
110500	113360	cette sublime conférence sur l'ego quantique
113360	116720	donnée par un médecin, chef adjoint des pompiers des Yvelines.
116860	118680	Et je vous ai promis quelque chose d'assez scientifique.
118840	121840	Ah, on n'en doute pas, une conférence sur l'ego quantique, ça s'annonce.
122120	123200	Scientifique !
123200	127140	Là, il ne s'agit pas de Roger qui boit son verre de vin au comptoir du café du commerce.
127660	128700	C'est Albert Einstein,
130000	131780	QI entre 160 et 190,
131780	136580	qui a dit que tout est énergie et c'est tout ce qu'il y a à savoir.
137060	140440	Si vous correspondez à la fréquence de la réalité que vous voulez,
140500	143820	vous ne pouvez pas ne pas obtenir ce que vous voulez.
145580	147280	Ça fait réfléchir ce genre de phrase.
147540	151000	Allez, je suis obligé de passer un peu de temps sur cette citation d'Einstein
151000	152620	parce qu'elle est à l'image du reste.
152900	156520	L'histoire de cette citation va résumer toute cette conférence d'une heure.
156780	159120	Tout est énergie et c'est tout ce qu'il y a à savoir.
159620	162380	Correspondez à la fréquence de la réalité que vous voulez
162380	164580	et vous ne pouvez pas ne pas l'obtenir.
164740	165620	Albert Einstein.
165980	169980	Wow, Einstein valide donc en fait toutes les théories New Age bullshit.
169980	173680	Ce sont vos fréquences, vos vibrations qui créent votre réalité.
174080	176520	Modifiez vos fréquences et vous aurez tout ce que vous voudrez.
176660	179660	Vous avez le pouvoir de manifester votre réalité.
180120	181500	Ça fait réfléchir ce genre de phrase.
181740	185380	Bon alors déjà, c'est pas parce qu'on voit une phrase écrite sur la tronche de quelqu'un
